Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,TerminationType,TerminationDescription
28,No,Travel_Rarely,Research & Development,1,3,Life Sciences,15,Male,1,Manufacturing Director,Married,25920,1,14,0,5,2,5,0,4,Unk,
37,No,Travel_Rarely,Research & Development,1,3,Life Sciences,16,Male,2,Healthcare Representative,Married,53460,4,11,0,7,2,5,0,1,Retirement,Fear particular method stage.
21,No,Travel_Rarely,Research & Development,3,2,Life Sciences,17,Male,1,Laboratory Technician,Single,42130,1,12,3,3,3,3,1,0,Voluntary,Wall body wonder successful.
37,No,Non-Travel,Research & Development,1,3,Medical,18,Male,2,Sales Executive,Divorced,41270,2,13,1,15,2,5,0,2,Voluntary,Visit foot nearly radio treatment.
35,No,Travel_Rarely,Sales,7,4,Life Sciences,19,Male,1,Sales Representative,Divorced,24380,7,16,0,10,5,7,6,2,Unk,
38,No,Travel_Rarely,Research & Development,8,3,Life Sciences,20,Female,1,Manager,Divorced,68700,1,11,1,8,5,8,7,7,Unk,
26,No,Travel_Frequently,Research & Development,1,4,Other,21,Male,2,Laboratory Technician,Divorced,104470,1,18,0,6,3,6,1,4,Involuntary,Unit pass office southern break one.
50,No,Travel_Rarely,Sales,8,4,Life Sciences,22,Male,1,Research Scientist,Divorced,96670,3,23,0,28,2,10,1,6,Retirement,List class mind.
53,No,Travel_Rarely,Research & Development,11,4,Life Sciences,23,Female,2,Research Scientist,Married,21480,3,11,0,21,2,5,1,3,Involuntary,Price third parent evening.
42,No,Travel_Rarely,Research & Development,4,4,Life Sciences,24,Male,1,Manufacturing Director,Married,89260,1,14,0,NA,4,20,11,6,Resignation,Cause military a sense. Doctor property may.
29,No,Travel_Frequently,Research & Development,16,4,Medical,25,Male,1,Laboratory Technician,Single,65130,1,11,1,10,2,10,0,9,Voluntary,Station another son positive.
55,No,Travel_Rarely,Research & Development,1,4,Other,26,Female,1,Research Scientist,Married,67990,3,11,0,12,2,10,0,8,Unk,
26,No,Travel_Frequently,Research & Development,9,3,Life Sciences,27,Female,1,Manager,Married,162910,1,22,0,5,3,5,3,3,Unk,
37,No,Travel_Rarely,Sales,5,1,Marketing,28,Male,1,Research Scientist,Single,27050,1,11,0,17,2,17,5,7,Unk,
44,Yes,Travel_Frequently,Research & Development,1,2,Medical,29,Male,2,Research Scientist,Divorced,103330,3,14,1,19,2,1,0,0,Resignation,Pm local take example fund. Small heavy listen.
38,No,Travel_Rarely,Sales,2,3,Marketing,30,Female,1,Manager,Divorced,44480,9,12,0,10,3,2,1,2,Unk,
26,Yes,Travel_Rarely,Research & Development,4,3,Medical,31,Male,3,Research Scientist,Divorced,68540,2,11,0,5,5,3,0,2,Unk,
28,No,Travel_Rarely,Research & Development,7,3,Other,32,Male,1,Human Resources,Single,96370,1,13,0,5,6,5,0,2,Voluntary,Several young whether that expert.
49,No,Travel_Frequently,Research & Development,1,1,Medical,33,Female,2,Research Scientist,Single,35910,9,13,0,22,2,3,1,2,Retirement,Science end approach democratic treatment.
36,No,Travel_Rarely,Sales,5,3,Technical Degree,34,Male,3,Sales Executive,Single,54050,4,14,0,10,2,8,7,7,Unk,
31,No,Travel_Frequently,Research & Development,9,4,Medical,35,Male,1,Sales Executive,Divorced,46840,1,16,1,2,4,2,2,2,Resignation,Base scene central unit per argue. Might last of.
26,Yes,Travel_Rarely,Research & Development,8,3,Medical,36,Male,2,Manager,Single,157870,1,12,2,8,5,8,7,4,Involuntary,Yourself book budget product.
37,No,Travel_Frequently,Sales,9,1,Marketing,37,Male,1,Laboratory Technician,Married,15140,1,14,0,4,3,4,1,2,Retirement,Paper can score else investment.
42,No,Travel_Frequently,Sales,2,2,Marketing,38,Male,3,Research Director,Married,29560,5,13,0,23,2,20,4,8,Involuntary,Stuff different color how.
18,Yes,Travel_Rarely,Research & Development,1,4,Life Sciences,39,Male,1,Sales Executive,Single,23350,1,14,2,0,3,0,0,0,Unk,
35,No,Travel_Rarely,Sales,20,2,Life Sciences,40,Male,1,Laboratory Technician,Married,51540,0,19,0,12,2,11,6,9,Retirement,Sign figure employee card education.
36,No,Travel_Frequently,Research & Development,8,3,Other,41,Female,3,Sales Executive,Married,69620,4,12,2,4,2,1,0,0,Unk,
51,No,Travel_Rarely,Research & Development,2,3,Life Sciences,42,Male,2,Laboratory Technician,Divorced,56750,5,13,0,13,2,4,1,2,Unk,
41,No,Travel_Rarely,Research & Development,29,1,Life Sciences,43,Male,1,Laboratory Technician,Single,23790,1,12,0,22,6,22,0,4,Resignation,Right cut matter arrive difference.
18,No,Travel_Rarely,Sales,7,3,Life Sciences,44,Male,1,Research Scientist,Single,38120,1,15,0,0,3,0,0,0,Retirement,Speak professor statement result.
28,No,Travel_Rarely,Research & Development,9,3,Medical,45,Male,1,Sales Representative,Single,46480,0,23,2,9,2,8,0,7,Unk,
31,No,Travel_Rarely,Research & Development,8,1,Technical Degree,46,Male,1,Manufacturing Director,Married,29360,4,12,1,10,2,8,7,7,Unk,
39,No,Travel_Rarely,Sales,5,4,Marketing,47,Female,2,Human Resources,Divorced,21050,0,20,0,19,3,18,3,7,Unk,
36,No,Non-Travel,Research & Development,5,4,Life Sciences,48,Male,1,Sales Executive,Married,85780,7,21,0,11,4,9,0,8,Unk,
32,No,Travel_Rarely,Sales,2,3,Marketing,49,Male,2,Laboratory Technician,Married,27060,1,21,1,13,4,13,4,8,Resignation,Expert challenge education air none money wide.
38,No,Travel_Rarely,Research & Development,5,2,Life Sciences,50,Female,3,Research Scientist,Married,63840,3,19,2,19,4,10,0,1,Voluntary,Buy become improve guess business know.
58,No,Non-Travel,Research & Development,2,3,Life Sciences,51,Male,2,Manufacturing Director,Divorced,39680,2,13,2,12,3,5,1,2,Unk,
31,No,Travel_Rarely,Research & Development,20,1,Technical Degree,52,Female,3,Research Scientist,Married,99070,0,13,1,6,3,5,0,3,Resignation,Read family dark scene scene guess.
31,No,Travel_Rarely,Sales,7,4,Marketing,53,Male,2,Sales Executive,Married,132250,3,21,1,9,2,2,1,0,Involuntary,Somebody great could yet.
45,No,Travel_Frequently,Research & Development,3,1,Medical,54,Female,1,Sales Executive,Divorced,35400,1,13,0,24,6,24,9,11,Retirement,View vote contain within fight cup party war.
31,No,Travel_Rarely,Sales,16,4,Marketing,55,Female,2,Research Scientist,Divorced,28040,0,19,2,3,0,2,2,2,Voluntary,Buy house certain wrong research chair.
33,No,Travel_Frequently,Research & Development,9,3,Life Sciences,56,Male,4,Research Director,Married,193920,6,12,1,12,3,10,8,8,Resignation,Miss onto none our discussion year.
39,No,Travel_Rarely,Sales,1,4,Life Sciences,57,Male,1,Sales Executive,Married,196650,1,22,1,21,6,21,11,10,Unk,
43,No,Travel_Frequently,Research & Development,7,4,Medical,58,Male,4,Research Scientist,Single,24390,0,15,0,9,2,8,1,7,Unk,
49,No,Travel_Rarely,Research & Development,1,3,Life Sciences,59,Male,3,Manufacturing Director,Single,73140,7,22,0,25,2,7,0,7,Unk,
52,Yes,Travel_Rarely,Research & Development,7,1,Life Sciences,60,Female,2,Research Scientist,Married,47740,2,18,1,11,2,8,7,7,Involuntary,Nature finish modern push former American.
27,No,Travel_Rarely,Research & Development,15,4,Medical,61,Male,3,Research Scientist,Single,39020,1,22,0,4,2,4,1,2,Unk,
32,No,Travel_Rarely,Research & Development,1,3,Life Sciences,62,Male,3,Research Scientist,Married,26620,1,11,1,13,6,13,11,9,Unk,
27,No,Travel_Rarely,Research & Development,13,2,Medical,63,Female,4,Research Director,Single,28560,1,12,2,5,5,5,0,4,Unk,
31,No,Travel_Rarely,Sales,24,3,Life Sciences,64,Male,2,Healthcare Representative,Divorced,10810,4,11,3,13,4,7,1,7,Unk,
32,No,Travel_Rarely,Research & Development,7,3,Technical Degree,65,Male,2,Healthcare Representative,Single,24720,7,13,0,10,2,7,0,7,Unk,
28,Yes,Travel_Rarely,Research & Development,9,4,Medical,66,Male,1,Sales Executive,Married,56730,5,14,1,5,4,3,2,2,Unk,
30,No,Travel_Rarely,Research & Development,13,3,Life Sciences,67,Female,4,Research Director,Married,41970,1,13,0,11,3,10,1,9,Unk,
31,No,Travel_Frequently,Research & Development,2,1,Life Sciences,68,Female,1,Manager,Married,97130,1,17,0,10,5,10,8,9,Unk,
39,No,Travel_Frequently,Research & Development,19,4,Medical,69,Female,1,Research Scientist,Married,20620,1,13,0,21,4,21,13,3,Retirement,Night company image able suggest.
39,Yes,Travel_Rarely,Research & Development,1,1,Medical,70,Female,1,Laboratory Technician,Married,42840,4,17,1,12,0,1,0,0,Unk,
33,No,Travel_Frequently,Sales,4,2,Life Sciences,71,Male,4,Research Scientist,Single,47880,3,11,1,9,0,7,0,1,Unk,
47,No,Travel_Rarely,Research & Development,4,3,Life Sciences,72,Female,2,Healthcare Representative,Married,59060,4,23,0,21,4,3,1,1,Voluntary,About allow article. For gas player magazine.
43,No,Travel_Frequently,Research & Development,14,3,Medical,73,Female,5,Research Director,Divorced,38860,1,17,2,9,2,9,0,0,Involuntary,Seem hand dog. Us six beyond place fund well.
27,No,Non-Travel,Research & Development,2,3,Life Sciences,74,Male,1,Research Director,Married,168230,0,17,0,6,3,5,1,4,Voluntary,Game hour boy not write somebody owner.
54,No,Travel_Frequently,Research & Development,1,4,Life Sciences,75,Male,2,Research Scientist,Single,29330,3,12,2,20,2,4,0,3,Retirement,Worker medical commercial participant tough leg.
43,No,Travel_Rarely,Research & Development,7,2,Life Sciences,76,Female,2,Manager,Married,65000,8,23,0,10,3,1,0,0,Unk,
45,No,Travel_Rarely,Sales,3,1,Marketing,77,Female,1,Sales Executive,Married,171740,9,14,1,12,6,10,9,8,Unk,
40,No,Travel_Rarely,Research & Development,2,4,Other,78,Male,4,Research Scientist,Married,50330,2,14,2,6,6,4,0,2,Unk,
29,Yes,Travel_Rarely,Research & Development,29,3,Medical,79,Female,1,Research Scientist,Married,23070,1,13,1,7,0,7,0,7,Unk,
29,No,Travel_Rarely,Human Resources,8,3,Medical,80,Male,3,Sales Representative,Single,25870,0,22,2,4,3,3,2,2,Voluntary,Fund nor half early miss follow.
30,No,Travel_Rarely,Research & Development,10,3,Life Sciences,81,Male,2,Research Scientist,Divorced,55070,1,12,2,10,2,10,1,2,Retirement,Line later deal stand sometimes too mind.
27,No,Travel_Rarely,Research & Development,11,2,Medical,82,Male,1,Manager,Married,43930,1,18,1,8,2,8,0,7,Unk,
37,No,Travel_Rarely,Sales,1,4,Life Sciences,83,Male,2,Healthcare Representative,Divorced,133480,7,14,0,8,4,6,0,4,Unk,
38,No,Travel_Rarely,Research & Development,28,4,Medical,84,Male,1,Laboratory Technician,Divorced,65830,0,12,0,12,1,11,2,9,Unk,
31,No,Travel_Rarely,Research & Development,6,3,Medical,85,Female,3,Manager,Single,81030,1,15,1,11,5,11,4,10,Resignation,Tell paper every.
29,No,Travel_Rarely,Research & Development,3,4,Life Sciences,86,Male,3,Sales Executive,Divorced,39780,1,11,0,7,0,7,1,7,Voluntary,Why sport must page bad.
35,No,Travel_Rarely,Sales,16,2,Technical Degree,87,Male,3,Manager,Single,25440,0,13,1,17,3,16,0,13,Involuntary,Something sense information final building.
23,No,Travel_Rarely,Research & Development,20,4,Life Sciences,88,Male,1,Manufacturing Director,Divorced,53990,1,23,0,4,2,4,0,2,Unk,
41,No,Travel_Rarely,Research & Development,9,2,Life Sciences,89,Female,1,Laboratory Technician,Single,54870,6,19,2,8,0,5,1,2,Retirement,School see rest firm I.
47,No,Travel_Frequently,Sales,1,3,Medical,90,Female,2,Laboratory Technician,Single,68340,3,16,1,5,2,0,0,0,Retirement,Source doctor rock group this.
42,No,Travel_Rarely,Research & Development,3,4,Life Sciences,91,Male,1,Manager,Single,10910,2,22,0,16,0,1,0,0,Unk,
29,No,Non-Travel,Sales,22,4,Marketing,92,Male,2,Human Resources,Married,57360,1,22,0,4,1,4,0,2,Involuntary,Little imagine career he produce program.
42,No,Travel_Rarely,Sales,7,4,Medical,93,Male,3,Research Scientist,Divorced,22260,0,12,1,4,3,3,1,0,Resignation,Your very trip successful memory to while out.
32,No,Travel_Rarely,Research & Development,2,3,Medical,94,Male,2,Research Scientist,Married,57470,1,13,0,8,0,8,0,7,Involuntary,Red some option.
48,No,Travel_Rarely,Sales,13,4,Medical,95,Male,4,Sales Executive,Married,98540,3,16,1,15,2,0,0,0,Unk,
37,No,Travel_Rarely,Research & Development,8,5,Technical Degree,96,Male,2,Manufacturing Director,Divorced,54670,4,12,0,13,2,7,6,7,Unk,
30,No,Non-Travel,Sales,25,4,Other,97,Male,1,Healthcare Representative,Married,53800,7,21,1,4,0,2,2,2,Resignation,Theory grow future week house.
26,No,Travel_Rarely,Sales,28,3,Medical,98,Female,5,Laboratory Technician,Married,51510,1,15,3,8,3,8,7,7,Resignation,Inside week also so.
42,No,Travel_Rarely,Sales,2,2,Medical,99,Female,1,Laboratory Technician,Single,21330,3,13,2,14,2,1,0,0,Retirement,Surface vote old picture.
21,Yes,Travel_Frequently,Research & Development,9,3,Medical,100,Female,4,Manufacturing Director,Single,178750,1,12,0,3,5,3,1,2,Unk,
36,No,Non-Travel,Human Resources,28,3,Human Resources,101,Male,2,Laboratory Technician,Single,24320,4,22,0,7,4,1,0,0,Retirement,Especially thing recognize year fine shoulder.
36,No,Travel_Frequently,Research & Development,6,3,Life Sciences,102,Female,2,Research Scientist,Married,47710,4,13,1,16,2,13,1,12,Unk,
57,No,Travel_Rarely,Research & Development,21,4,Life Sciences,103,Male,5,Research Scientist,Married,191610,2,18,0,15,2,3,1,2,Voluntary,Camera spring color about energy provide claim.
40,No,Travel_Rarely,Research & Development,8,3,Other,104,Male,2,Sales Executive,Married,50870,3,14,1,10,3,7,1,7,Unk,
21,No,Non-Travel,Research & Development,1,5,Life Sciences,105,Female,2,Manager,Single,28630,1,14,0,3,2,3,2,2,Unk,
33,Yes,Travel_Rarely,Human Resources,28,2,Human Resources,106,Female,5,Manager,Single,55610,1,21,1,1,3,1,0,0,Unk,
37,No,Travel_Rarely,Research & Development,5,3,Life Sciences,107,Male,4,Research Scientist,Married,21440,6,19,0,17,3,5,0,3,Voluntary,Pass language out side age evidence.
46,No,Non-Travel,Sales,2,4,Marketing,108,Female,2,Laboratory Technician,Married,30650,2,11,0,7,3,1,0,0,Unk,
41,Yes,Travel_Frequently,Research & Development,16,1,Medical,109,Female,1,Research Scientist,Single,28100,1,11,0,8,3,8,7,7,Retirement,Popular west moment natural step activity.
50,No,Travel_Rarely,Research & Development,9,3,Medical,110,Female,3,Laboratory Technician,Single,98880,6,15,0,20,2,4,1,3,Unk,
40,Yes,Travel_Rarely,Research & Development,8,3,Medical,111,Female,1,Healthcare Representative,Married,86280,2,20,0,8,2,6,1,0,Retirement,Manager lead both sing.
31,No,Travel_Rarely,Research & Development,1,3,Life Sciences,112,Male,4,Human Resources,Single,28670,0,24,0,3,5,2,2,2,Resignation,And after why station much cell low.
21,Yes,Travel_Rarely,Human Resources,10,2,Human Resources,113,Male,1,Laboratory Technician,Single,53730,1,12,1,1,2,1,0,0,Unk,
29,No,Travel_Rarely,Research & Development,1,3,Life Sciences,114,Female,2,Research Director,Single,66670,9,12,1,6,6,3,1,2,Retirement,American rule surface very figure.
35,No,Travel_Rarely,Research & Development,29,3,Life Sciences,115,Female,3,Sales Executive,Single,50030,9,15,0,10,2,1,0,0,Involuntary,Read stand western white article campaign dog.
27,No,Travel_Rarely,Sales,2,3,Life Sciences,116,Male,1,Sales Executive,Divorced,23670,NA,12,1,5,2,5,0,4,Unk,
28,No,Travel_Rarely,Research & Development,2,2,Medical,117,Male,3,Manager,Single,28580,1,12,0,7,2,7,0,7,Unk,
49,No,Travel_Rarely,Sales,2,3,Technical Degree,118,Male,2,Manufacturing Director,Single,52040,8,14,1,26,3,5,0,0,Retirement,Political likely land country.
51,No,Travel_Rarely,Research & Development,1,2,Life Sciences,119,Male,1,Sales Executive,Married,41050,4,22,1,18,2,7,0,7,Unk,
36,No,Travel_Rarely,Sales,15,2,Life Sciences,120,Male,1,Sales Executive,Married,96790,4,12,0,6,1,2,2,2,Voluntary,Baby million million soldier.
34,Yes,Non-Travel,Research & Development,7,3,Life Sciences,121,Male,1,Sales Representative,Single,56170,8,25,1,9,3,5,0,4,Unk,
55,No,Travel_Rarely,Sales,26,3,Marketing,122,Male,1,Laboratory Technician,Single,104480,2,13,0,30,3,5,1,2,Resignation,Bit reveal forget the.
24,No,Travel_Rarely,Research & Development,1,3,Life Sciences,123,Female,5,Manager,Divorced,28970,1,18,3,5,4,5,0,3,Retirement,Fact southern recognize themselves type mean.
30,No,Travel_Rarely,Research & Development,3,3,Life Sciences,124,Female,2,Manager,Married,59680,1,13,0,1,3,1,0,0,Resignation,Will person decade Republican.
26,Yes,Travel_Frequently,Sales,14,3,Life Sciences,125,Male,2,Manager,Single,75100,0,18,3,7,3,6,0,4,Unk,
22,No,Travel_Rarely,Research & Development,16,5,Other,126,Male,1,Research Scientist,Married,29910,1,19,2,2,3,2,1,2,Retirement,Stand possible truth bank on meet daughter.
36,No,Travel_Rarely,Research & Development,1,3,Medical,127,Female,5,Healthcare Representative,Married,196360,1,12,1,10,3,10,9,0,Unk,
30,Yes,Travel_Frequently,Sales,3,2,Marketing,128,Male,3,Research Scientist,Single,11290,9,19,0,3,2,1,0,0,Unk,
37,No,Travel_Rarely,Research & Development,10,1,Technical Degree,129,Male,1,Sales Executive,Divorced,133410,1,14,1,18,3,18,12,17,Resignation,Choose list of all nor stock.
40,No,Travel_Rarely,Research & Development,6,2,Medical,130,Male,3,Research Scientist,Divorced,43320,7,14,2,8,3,5,1,3,Retirement,Community material much behind.
42,No,Travel_Rarely,Research & Development,2,3,Medical,131,Female,4,Manager,Divorced,110310,3,12,1,8,2,5,1,2,Unk,
37,No,Travel_Rarely,Sales,9,1,Marketing,132,Male,3,Sales Executive,Single,44400,2,11,1,18,3,1,0,1,Unk,
43,No,Travel_Rarely,Sales,10,2,Life Sciences,133,Female,1,Sales Executive,Divorced,46170,1,11,0,25,2,25,3,9,Retirement,Age approach seek person across yes care.
40,No,Travel_Rarely,Sales,6,2,Life Sciences,134,Female,1,Laboratory Technician,Married,26470,6,13,0,20,2,1,0,0,Unk,
54,No,Travel_Rarely,Human Resources,9,3,Life Sciences,135,Female,2,Manufacturing Director,Married,63230,4,23,1,24,2,4,1,2,Unk,
34,No,Non-Travel,Research & Development,28,3,Medical,136,Male,1,Laboratory Technician,Married,56770,9,20,1,6,3,3,1,2,Retirement,Whom summer common produce despite follow.
31,No,Travel_Rarely,Research & Development,10,4,Life Sciences,137,Male,3,Sales Executive,Married,21870,1,15,1,13,2,13,3,12,Unk,
43,No,Travel_Frequently,Sales,14,3,Life Sciences,138,Female,1,Manufacturing Director,Married,37480,7,14,2,NA,3,3,1,2,Resignation,Week degree party available measure.
43,No,Travel_Rarely,Sales,27,4,Life Sciences,139,Male,2,Sales Representative,Divorced,39770,4,18,1,8,3,5,0,2,Unk,
25,No,Travel_Rarely,Human Resources,7,2,Human Resources,140,Male,1,Manufacturing Director,Single,86330,1,19,1,5,2,5,1,3,Unk,
37,No,Non-Travel,Research & Development,1,3,Medical,141,Male,3,Laboratory Technician,Married,20080,3,22,0,15,5,13,10,7,Unk,
31,No,Travel_Rarely,Research & Development,24,1,Medical,142,Male,3,Laboratory Technician,Married,44400,1,13,1,4,2,4,3,2,Involuntary,Couple really very hear.
39,No,Travel_Frequently,Research & Development,26,4,Technical Degree,143,Female,1,Sales Executive,Divorced,30670,1,20,1,21,5,21,1,6,Involuntary,Trial little must kitchen recently.
56,No,Travel_Frequently,Research & Development,20,4,Life Sciences,144,Female,3,Sales Executive,Married,53210,9,14,0,36,1,7,7,7,Voluntary,Change instead determine share far leg ground.
30,No,Travel_Rarely,Sales,5,4,Medical,145,Female,2,Manufacturing Director,Single,54100,0,17,1,6,2,5,4,4,Resignation,Heavy throughout program.
41,No,Travel_Rarely,Research & Development,7,3,Technical Degree,146,Female,3,Research Scientist,Married,27820,1,14,0,10,2,10,0,7,Retirement,Where first Mr remember crime.
28,No,Travel_Rarely,Research & Development,7,3,Medical,147,Male,3,Healthcare Representative,Divorced,119570,1,13,0,10,2,10,1,8,Involuntary,Cup purpose hundred region similar.
25,Yes,Travel_Rarely,Research & Development,5,2,Life Sciences,148,Female,3,Laboratory Technician,Married,26600,5,13,0,6,3,2,0,2,Involuntary,News quite number answer program.
52,No,Travel_Rarely,Research & Development,26,2,Life Sciences,149,Female,2,Sales Representative,Married,33750,2,21,0,28,2,5,0,4,Resignation,Big large training region.
45,No,Travel_Rarely,Research & Development,2,3,Medical,150,Female,1,Sales Executive,Married,50980,3,14,1,8,4,2,0,2,Voluntary,Reflect off growth mouth have.
52,No,Travel_Rarely,Research & Development,12,3,Medical,151,Male,2,Research Scientist,Married,48780,2,11,1,31,3,5,1,4,Unk,
42,No,Travel_Frequently,Sales,10,3,Marketing,152,Female,2,Healthcare Representative,Divorced,28370,2,13,1,19,0,5,0,2,Unk,
30,No,Travel_Rarely,Sales,25,3,Marketing,153,Male,1,Sales Executive,Single,24060,2,20,1,11,5,5,0,2,Unk,
60,No,Travel_Rarely,Research & Development,10,3,Life Sciences,154,Female,1,Manufacturing Director,Married,22690,5,18,1,33,4,29,11,10,Unk,
46,No,Travel_Rarely,Sales,19,4,Marketing,155,Female,1,Sales Executive,Divorced,41080,2,14,0,19,5,10,0,8,Voluntary,Memory high then mind concern carry level life.
42,No,Travel_Frequently,Research & Development,18,4,Technical Degree,156,Male,4,Sales Executive,Married,132060,0,13,2,7,2,6,0,4,Retirement,Other might rise today.
24,Yes,Travel_Rarely,Research & Development,27,2,Medical,157,Male,1,Research Scientist,Single,104220,1,17,1,6,0,5,1,4,Retirement,Others those data before major how.
34,Yes,Travel_Frequently,Research & Development,5,3,Medical,158,Male,2,Research Scientist,Divorced,137440,0,20,1,3,3,2,1,0,Unk,
38,No,Travel_Frequently,Sales,3,3,Marketing,159,Female,2,Sales Executive,Married,49070,1,11,1,1,3,1,0,0,Unk,
40,No,Travel_Rarely,Sales,26,4,Marketing,160,Female,1,Sales Executive,Married,34820,0,18,1,21,2,20,1,12,Resignation,Identify next game leader.
26,No,Travel_Rarely,Research & Development,3,2,Medical,161,Female,4,Healthcare Representative,Divorced,24360,1,24,0,3,2,3,0,2,Resignation,Society red to able.
30,No,Non-Travel,Research & Development,15,3,Medical,162,Female,2,Sales Executive,Married,23800,4,18,3,9,2,5,1,4,Retirement,Everybody no four arrive major ten culture.
29,No,Travel_Rarely,Research & Development,8,3,Medical,163,Female,3,Manufacturing Director,Married,194310,1,11,0,10,3,10,0,7,Unk,
29,Yes,Travel_Rarely,Research & Development,19,4,Life Sciences,164,Male,3,Research Scientist,Married,17900,5,16,1,6,4,2,1,1,Retirement,Country as dream project office.
19,Yes,Travel_Rarely,Research & Development,4,3,Medical,165,Male,1,Sales Executive,Single,76440,1,15,2,1,2,1,0,0,Voluntary,Quality decade director.
30,No,Non-Travel,Research & Development,2,4,Life Sciences,166,Female,3,Research Scientist,Married,51310,0,15,1,10,2,9,7,8,Voluntary,Particular network available hospital.
57,No,Travel_Rarely,Research & Development,2,2,Life Sciences,167,Male,4,Research Scientist,Divorced,63060,3,12,1,32,3,1,0,0,Unk,
50,No,Travel_Rarely,Sales,10,4,Life Sciences,168,Female,3,Manager,Married,47870,0,12,0,28,3,27,15,7,Unk,
30,No,Non-Travel,Sales,10,2,Life Sciences,169,Male,3,Laboratory Technician,Single,188800,0,22,1,12,3,11,6,7,Resignation,Dark meeting play room head join truth involve.
60,No,Travel_Frequently,Research & Development,16,3,Life Sciences,170,Female,4,Laboratory Technician,Married,23390,4,20,0,22,4,18,13,11,Unk,
47,No,Travel_Rarely,Research & Development,1,3,Technical Degree,171,Male,5,Manufacturing Director,Divorced,135700,5,16,2,20,2,5,0,4,Retirement,Democrat themselves deal future early.
46,No,Travel_Rarely,Sales,4,1,Technical Degree,172,Male,1,Laboratory Technician,Married,67120,6,21,1,26,3,3,0,1,Resignation,Majority executive plan imagine.
35,No,Travel_Rarely,Research & Development,15,2,Medical,173,Female,2,Laboratory Technician,Single,54060,0,12,1,6,2,5,4,3,Unk,
54,No,Travel_Rarely,Research & Development,2,4,Medical,174,Male,2,Human Resources,Single,89380,7,11,3,19,2,1,0,0,Unk,
34,No,Travel_Rarely,Sales,8,2,Life Sciences,175,Male,1,Laboratory Technician,Divorced,24390,3,11,2,14,2,7,5,7,Unk,
46,No,Travel_Rarely,Research & Development,2,3,Life Sciences,176,Male,1,Healthcare Representative,Married,88370,2,18,0,15,3,3,1,2,Involuntary,Quality audience deal assume.
31,No,Travel_Rarely,Research & Development,7,3,Life Sciences,177,Male,2,Research Director,Divorced,53430,1,14,1,13,3,13,0,8,Resignation,To trial deep.
33,Yes,Travel_Rarely,Research & Development,10,3,Life Sciences,178,Female,4,Research Director,Married,67280,7,22,0,15,2,7,7,7,Resignation,Sometimes surface page stand area.
33,Yes,Travel_Rarely,Sales,5,4,Marketing,179,Male,2,Research Director,Divorced,66520,7,25,0,8,5,4,1,3,Unk,
